20133,33265,26126,11062,135762
10823,43384,23416,5508,144598
16662,20697,15018,5846,94977
11403,19607,16463,6698,78397
1527,4241,4764,1124,18294
17829,17880,16174,8980,92602
2459,7833,5932,1202,27599
1745,755,676,1036,5696
31335,23294,22324,11377,119782
6406,11948,14016,3816,54139
14622,24403,16031,6791,87705
21047,28386,18187,9282,110165
17829,17880,16174,8980,83626
1981,7543,4008,1159,21065
1805,4011,3073,1117,14081
2824,8172,6667,1512,29064
1981,7543,4008,1159,21747
10823,43384,23416,5508,119165
6155,8207,13180,3669,48472
2441,11005,7111,1584,35514
10823,43384,23416,5508,132293
6155,8207,13180,3669,43905
31335,23294,22324,11377,131794
358,577,620,323,2851
2441,11005,7111,1584,34459
302,1541,1469,278,5591
11403,19607,16463,6698,84589
433,2340,2161,392,7320
23632,15432,18256,12063,107147
2441,11005,7111,1584,35960
2824,8172,6667,1512,32215
896,3234,2448,440,10392
433,2340,2161,392,8008
1913,3644,2657,671,13002
1557,4499,3124,752,14769
17785,9106,10677,8275,70598
896,3234,2448,440,10697
1527,4241,4764,1124,16872
2824,8172,6667,1512,26030
31335,23294,22324,11377,133126
14622,24403,16031,6791,92967
1745,755,676,1036,5945
14622,24403,16031,6791,94063
17829,17880,16174,8980,86291
1557,4499,3124,752,13600
856,3143,2066,640,10624
2448,8384,5525,1409,29955
1095,4881,3649,649,16241
890,3347,2538,502,12124
1543,9718,4477,785,26249
1095,4881,3649,649,14241
17785,9106,10677,8275,67514
1369,5022,3780,865,16767
20133,33265,26126,11062,131755
2459,7833,5932,1202,26387
1805,4011,3073,1117,15586
6406,11948,14016,3816,52783
21047,28386,18187,9282,118693
18971,39516,21040,8887,132739
2824,8172,6667,1512,25227
16662,20697,15018,5846,90499
896,3234,2448,440,9164
1095,4881,3649,649,13961
1745,755,676,1036,5741
21047,28386,18187,9282,99972
21047,28386,18187,9282,108513
1543,9718,4477,785,25166
2459,7833,5932,1202,27636
1039,2254,2252,625,8923
17785,9106,10677,8275,73938
302,1541,1469,278,5055
1745,755,676,1036,6788
1543,9718,4477,785,26246
21047,28386,18187,9282,132746
31335,23294,22324,11377,129584
2441,11005,7111,1584,31445
6406,11948,14016,3816,54069
1527,4241,4764,1124,17721
302,1541,1469,278,4895
20133,33265,26126,11062,127468
2448,8384,5525,1409,25155
358,577,620,323,3076
20133,33265,26126,11062,134967
3342,16252,7773,1980,44561
6155,8207,13180,3669,48918
1095,4881,3649,649,13920
1543,9718,4477,785,23016
2448,8384,5525,1409,32277
1369,5022,3780,865,18768
2448,8384,5525,1409,26673
3342,16252,7773,1980,45447
18971,39516,21040,8887,132791
890,3347,2538,502,11333
2459,7833,5932,1202,25752
856,3143,2066,640,10077
358,577,620,323,2917
17829,17880,16174,8980,83241
890,3347,2538,502,10812
1543,9718,4477,785,25937
6155,8207,13180,3669,45941
2824,8172,6667,1512,28395
890,3347,2538,502,10037
1369,5022,3780,865,16710
302,1541,1469,278,5721
302,1541,1469,278,5115
1527,4241,4764,1124,18117
1981,7543,4008,1159,20851
5172,8083,6566,2517,30945
2441,11005,7111,1584,33000
890,3347,2538,502,10362
18971,39516,21040,8887,114403
890,3347,2538,502,10594
2448,8384,5525,1409,24434
17785,9106,10677,8275,66117
17785,9106,10677,8275,72616
1557,4499,3124,752,14013
896,3234,2448,440,11888
1543,9718,4477,785,27316
31335,23294,22324,11377,130250
1981,7543,4008,1159,21935
1527,4241,4764,1124,16548
2459,7833,5932,1202,30089
1745,755,676,1036,6438
896,3234,2448,440,10755
1913,3644,2657,671,12995
302,1541,1469,278,5088
3342,16252,7773,1980,41764
433,2340,2161,392,8408
433,2340,2161,392,8345
17785,9106,10677,8275,63199
896,3234,2448,440,9191
18971,39516,21040,8887,136132
10823,43384,23416,5508,126873
